VIX;16502;232227;SUBSTITUICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
VIX;16541;232227;SUBSTITUICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
VIX;29208;232227;SUBSTITUICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
MSS;29207;230510;S, DEFEITO;APENAS ATUALIZACAO DA IMAGEM;LUCAS BARBOSA;;;
MSS;29451;230510;S, DEFEITO;APENAS ATUALIZACAO DA IMAGEM;LUCAS BARBOSA;;;
MSS;29131;230510;WIN XP;ATUALIZACAO D VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
MSS;480;230510;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
MSS;54078;230510;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS , TROCA DE GABINETE;LUCAS BARBOSA;;;
MSS;18647;230510;WIN XP;ATUALIZACAO DA VERSAO BACKUP DE ARQUIVOS , UPGRADE DE MEMORIA;LUCAS BARBOSA;;;
CPQ;20061;233145;ADICAO;DOCA PADRAO C, LEITOR USB;CLEBER ROSSINI;;;
PMW;17638;231656;N LIGA ;TROCA DE FONTE , TROCA DE PENTE DE MEMORIA , PLACA WIRELESS;LUCAS BARBOSA;;;
PMW;27814;231656;N LIGA;TROCA DE FONTE , INSTALCAO PLA WIRELESS;LUCAS BARBOSA;;;
PMW;54057;231656;WIN XP;TROCA DE GABINETE , ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
PMW;30583;231656;N LIGA;TROCA DE FONTE;LUCAS BARBOSA;;;
SJP;17721;233336;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
CWB;18372;234570;ADICAO;DESKTOP PADRAO;CLEBER ROSSINI;;;
CWB;17717;234570;ADICAO;DESKTOP PADRAO;CLEBER ROSSINI;;;
RAO;17262;234070;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
RAO;23375;234070;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
BSB;24388;222890;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
ITJ;29999;233547;ADICAO;DESKTOP PADRAO C, HDMI;LUCAS BARBOSA;;;
ITJ;23212;232281;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
ITJ;24392;232281;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
MAO;24420;229519;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
SBL;87564;232834;ADICAO;DESKTOP PADRAO;CLEBER ROSSINI;;;
SBL;8363;232834;ADICAO;DESKTOP PADRAO;CLEBER ROSSINI;;;
SBL;8385;232834;ADICAO;DESKTOP PADRAO;CLEBER ROSSINI;;;
VMM;25775;233686;N LIGA;TROCA DE FONTE;LUCAS BARBOSA;;;
CXJ;4135;230861;N LIGA;TROCA DE DESKTOP , ATUALIZACAO DE VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
CXJ;20576;236282;N INICIA O WINDOWS;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
CSU;17257;234935;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
PFB;23279;232679;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
PFB;17227;231934;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
CXO;22391;233965;N LIGA;TROCA DE FONTE;LUCAS BARBOSA;;;
TRL;21874;232757;S, DEFEITO;TROCA DE GABINETE, STRESS POR 4HRS SEGUIDAS;LUCAS BARBOSA;;;
TRL;30001;199071;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
DPW;24618;233311;BUG WINDOWS;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
SJP;21802;233333;N LIGA;NOTEBOOK ESTAVA COM PROBLEMAS NA FONTE;LUCAS BARBOSA;;;
PGT;12370;234081;WIN XP;TROCA DE DESKTOP , ATUALIZACAO DE VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
SJK;17724;234463;WIN XP;TROCA DE DESKTOP , ATUALIZACAO DE VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
PFB;25865;232679;BUG WINDOWS;ATUALIZACAO DO SISTEMA OPERACIONAL , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
PFB;16390;231934;PLACA MAO DANIFIADA;TROCA DE DESKTOP;LUCAS BARBOSA;;;
CCT;16978;233842;N LIGA;TROCA DE COOLER E CABOS SATA;LUCAS BARBOSA;;;
BNU;18628;234187;LENTIDAO;TROCA DE PROCESSADOR , UPGRADE DE MEMORIA E DESATIVACAO DO IPDATE;LUCAS BARBOSA;;;
SLZ;20056;235947;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
POA;16274;228356;ADICAO;DESKTOP PADRAO , C BACKUP DE CPU ANTIGA;LUCAS BARBOSA;;;
POA;325;228356;ADICAO;DESKTOP PADRAO , C BACKUP DE CPU ANTIGA;LUCAS BARBOSA;;;
POA;24382;228356;ADICAO;DESKTOP PADRAO , C BACKUP DE CPU ANTIGA;LUCAS BARBOSA;;;
POA;24180;228356;ADICAO;DESKTOP PADRAO , C BACKUP DE CPU ANTIGA;LUCAS BARBOSA;;;
